Date,Open,High,Low,Close,Volume,Change
2014-05-19,22050,22063,21911,22076,10200719,0.0019516180275040984
2014-05-20,22033,22107,22006,22049,7634171,-0.0012230476535604051
2014-05-21,21949,22177,21949,22053,7591815,0.00018141412308958493
2014-05-22,22111,22238,22082,22170,8060412,0.005305400625765122
2014-05-23,22124,22182,22098,22133,6942012,-0.001668921966621606
2014-05-26,22095,22173,22055,22094,3916781,-0.0017620747300410855
2014-05-27,22095,22129,21766,21870,8002185,-0.01013849914003806
2014-05-28,21861,22098,21843,22113,10281762,0.011111111111111072
2014-05-29,22129,22150,22025,22091,6784045,-0.0009948898837788267
2014-05-30,22073,22132,21889,21908,6077472,-0.008283916527092483
2014-06-02,21893,22016,21889,21957,2960614,0.002236625890085886
2014-06-03,21942,21975,21820,21979,6428462,0.0010019583731839532
2014-06-05,21967,22003,21797,21863,5499235,-0.005277765139451329
2014-06-09,21946,22078,21834,21859,9532410,-0.00018295750811869738
2014-06-10,21971,22073,21925,22086,2779754,0.01038473855162625
2014-06-11,22059,22129,22004,22069,3785857,-0.0007697183736303792
2014-06-12,22033,22064,21929,21989,7416559,-0.003624994335946319
2014-06-13,21897,21942,21657,21721,9488787,-0.012187912137887169
2014-06-16,21681,21838,21653,21837,16138994,0.005340453938584844
2014-06-17,21805,21893,21776,21875,3874436,0.0017401657736868525
2014-06-18,21843,21856,21721,21747,4772527,-0.0058514285714286185
2014-06-19,21834,21921,21721,21801,6765801,0.002483101117395581
2014-06-20,21779,21779,21449,21484,9697732,-0.01454061740287138
2014-06-23,21506,21660,21498,21606,18113222,0.0056786445727052826
2014-06-24,21520,21897,21520,21845,8856912,0.011061742108673611
2014-06-25,21805,21875,21677,21721,11384269,-0.005676356145571049
2014-06-26,21746,21907,21731,21863,12590639,0.006537452235164221
2014-06-27,21834,21893,21695,21806,8043961,-0.0026071444906919927
2014-06-30,21823,21938,21823,21908,5685581,0.0046776116665137035
2014-07-01,21810,21875,21699,21850,4729748,-0.002647434727040321
2014-07-02,21921,22078,21912,22003,9949734,0.007002288329519546
2014-07-03,21987,22025,21949,21979,10428428,-0.0010907603508611974
2014-07-04,22082,22085,21912,21948,8176505,-0.0014104372355430161
2014-07-07,21897,21929,21746,21828,7356135,-0.005467468562055822
2014-07-08,21834,21878,21728,21828,5750689,0.0
2014-07-09,21723,21755,21649,21726,6119674,-0.004672897196261627
2014-07-10,21766,21820,21721,21765,8087217,0.0017950842308753767
2014-07-11,21657,21657,21534,21593,10385615,-0.007902595910866062
2014-07-14,21681,21751,21611,21670,17589435,0.00356597045338769
2014-07-15,21723,21938,21721,21898,7785506,0.010521458237194192
2014-07-16,21878,21971,21867,21930,11570616,0.0014613206685543112
2014-07-17,21975,22078,21963,21999,8177827,0.003146374829001264
2014-07-18,21843,21953,21815,21971,8383927,-0.001272785126596676
2014-07-21,22059,22124,21958,21979,7998430,0.0003641163351690846
2014-07-22,21963,22111,21963,22109,6059843,0.005914736794212727
2014-07-23,22146,22163,22059,22104,7391972,-0.00022615224569177972
2014-07-24,22111,22199,22046,22113,7104436,0.0004071661237785573
2014-07-25,22137,22169,22102,22158,8250609,0.0020350020350019538
2014-07-28,22163,22394,22163,22363,6461548,0.009251737521436931
2014-07-29,22414,22590,22403,22579,15091736,0.009658811429593461
2014-07-30,22613,22977,22605,22857,25917162,0.012312325612294561
2014-07-31,22792,22925,22681,22745,16518572,-0.004900030625191398
2014-08-01,22555,22723,22545,22642,10508302,-0.004528467795119839
2014-08-04,22716,22716,22545,22639,8892149,-0.00013249712922891455
2014-08-05,22605,22605,22423,22488,6556705,-0.006669905914572172
2014-08-06,22410,22508,22347,22421,8579541,-0.0029793667733902796
2014-08-07,22319,22406,22246,22324,8911201,-0.0043263012354488595
2014-08-08,22269,22274,21987,22044,12921663,-0.012542555097652786
2014-08-11,22182,22219,22111,22173,12156904,0.005851932498639023
2014-08-12,22219,22314,22163,22173,5437299,0.0
2014-08-13,22194,22289,22159,22299,5691133,0.005682586930050082
2014-08-14,22319,22475,22277,22363,6069234,0.002870083860262884
2014-08-18,22423,22453,22214,22242,3760107,-0.0054107230693556385
2014-08-19,22289,22475,22289,22428,6772934,0.008362557323981612
2014-08-20,22504,22512,22356,22399,8145917,-0.0012930265739254931
2014-08-21,22361,22378,22000,22049,10319648,-0.01562569757578458
2014-08-22,22085,22229,22033,22211,17407137,0.007347271985123971
2014-08-25,22146,22289,22051,22271,5609971,0.0027013641889153117
2014-08-26,22336,22403,22269,22350,6738860,0.003547213865565002
2014-08-27,22403,22470,22332,22354,8265363,0.00017897091722596237
2014-08-28,22403,22555,22356,22376,8171488,0.0009841639080254705
2014-08-29,22310,22327,22169,22313,7586424,-0.002815516624955272
2014-09-01,22277,22314,22209,22271,4405116,-0.0018823107605431266
2014-09-02,22259,22259,22020,22076,9384834,-0.008755781060572065
2014-09-03,22003,22073,21902,22019,19096392,-0.0025819894908497565
2014-09-04,22107,22191,22064,22094,9016071,0.0034061492347519096
2014-09-05,22064,22137,21942,22053,8771297,-0.0018557074318820144
2014-09-11,22036,22059,21921,21952,12442139,-0.004579875753865648
2014-09-12,21938,22011,21902,21994,13881347,0.001913265306122458
2014-09-15,21942,21963,21805,21915,7772300,-0.003591888696917289
2014-09-16,21934,22006,21912,21986,10908518,0.0032397900981062655
2014-09-17,22064,22187,22059,22188,6401186,0.009187664877649437
2014-09-18,22169,22182,22003,22044,9195628,-0.006489994591671211
2014-09-19,22146,22194,22095,22133,8748666,0.004037379785882811
2014-09-22,22029,22033,21771,21867,7922121,-0.012018253286947056
2014-09-23,21771,21864,21741,21795,22913834,-0.0032926327342570616
2014-09-24,21695,21793,21630,21786,7864358,-0.0004129387474191004
